symbol	ensg	cell_type	baseMean	log2FoldChange	pvalue	padj
AC097382.2	ENSG00000245748	CD34	77.9	4.2	6.681e-15	1.517e-12
AL021707.5	ENSG00000244491	CD34	221	2.8	5.801e-15	1.701e-12
FAM120B	ENSG00000112584	CD34	1196.4	-1	7.998e-15	1.804e-12
RNASEK	ENSG00000219200	CD34	3562.2	1.7	8.117e-15	1.804e-12
SMYD4	ENSG00000186532	CD34	647.4	-1.2	8.468e-15	1.855e-12
VNN2	ENSG00000112303	CD34	113.5	-4	9.269e-15	2.081e-12
NDUFS5	ENSG00000168653	CD34	3481.6	1.7	1.125e-14	2.441e-12
SS18L2	ENSG00000008324	CD34	855.1	1.1	6.507e-15	2.863e-12
CCDC12	ENSG00000160799	CD34	1112	1.4	1.585e-14	2.895e-12
SRCAP	ENSG00000080603	CD34	3204.8	-2.6	1.453e-14	3.191e-12
BRMS1	ENSG00000174744	CD34	1534.5	1.4	1.721e-14	3.191e-12
ZBED6	ENSG00000257315	CD34	1404.4	-3.7	1.675e-14	3.292e-12
ZBED6	ENSG00000257315	CD34	1404.4	-3.7	1.675e-14	3.292e-12
TVP23C-CDRT4	ENSG00000259024	CD34	91.9	-4	1.91e-14	3.622e-12
MON2	ENSG00000061987	CD34	1888.7	-1.5	1.98e-14	3.826e-12
RALGAPA1	ENSG00000174373	CD34	844.2	-1.4	2.131e-14	4.035e-12
RPL13	ENSG00000167526	CD34	55521.8	1.6	2.62e-14	4.9e-12
GYPB	ENSG00000250361	CD34	8008.7	3.4	2.777e-14	5.094e-12
ANKRD17	ENSG00000132466	CD34	6875.3	-1.5	3.004e-14	5.467e-12
JTB	ENSG00000143543	CD34	5098.7	1.3	3.053e-14	5.467e-12
NDUFC1	ENSG00000109390	CD34	1068.5	2	4.166e-14	6.548e-12
AC068580.4	ENSG00000250644	CD34	288.8	3.1	3.796e-14	7.501e-12
EDF1	ENSG00000107223	CD34	4804.6	1.3	4.561e-14	8.1e-12
NDUFB1	ENSG00000183648	CD34	1413.8	1.5	5.369e-14	8.5e-12
ATXN2	ENSG00000204842	CD34	1806.7	-1	5.418e-14	9.304e-12
SETD5	ENSG00000168137	CD34	3547.4	-1.5	5.949e-14	1.002e-11
LRG1	ENSG00000171236	CD34	109	-3.6	6.335e-14	1.032e-11
CLTA	ENSG00000122705	CD34	3864.8	1.1	6.613e-14	1.184e-11
PPP1R15B	ENSG00000158615	CD34	11759.4	-1.7	7.338e-14	1.189e-11
DRAP1	ENSG00000175550	CD34	3645.6	1.8	8.614e-14	1.417e-11
PRR34-AS1	ENSG00000241990	CD34	140.1	3.3	8.033e-14	1.438e-11
NCS1	ENSG00000107130	CD34	2341	2.8	1.025e-13	1.609e-11
AP002360.2	ENSG00000255135	CD34	227.9	1.4	9.214e-14	2.047e-11
OIP5-AS1	ENSG00000247556	CD34	8760.3	-1.4	1.366e-13	2.1e-11
EPOR	ENSG00000187266	CD34	10493.1	1.5	2.249e-13	2.124e-11
NUDCD1	ENSG00000120526	CD34	910.2	-1.3	7.234e-14	2.281e-11
BSCL2	ENSG00000168000	CD34	730.9	1.8	1.518e-13	2.281e-11
BBX	ENSG00000114439	CD34	2385.9	-1.3	1.515e-13	2.302e-11
PHC1P1	ENSG00000179899	CD34	132.9	-5.5	1.661e-13	2.392e-11
EMC6	ENSG00000127774	CD34	556	1.9	1.664e-13	2.484e-11
HEBP1	ENSG00000013583	CD34	6850.1	1.3	2.221e-13	2.604e-11
DENND5B	ENSG00000170456	CD34	323.3	-1.3	1.96e-13	2.872e-11
RPL18	ENSG00000063177	CD34	33202	1.5	3.881e-13	3.394e-11
CEP170	ENSG00000143702	CD34	2376	-1.2	2.426e-13	3.413e-11
CEP170	ENSG00000143702	CD34	2376	-1.2	2.426e-13	3.447e-11
RPLP1	ENSG00000137818	CD34	45976.1	1.9	3.154e-13	3.532e-11
AC016739.1	ENSG00000218175	CD34	6575.8	2.5	4.072e-13	3.727e-11
SYNRG	ENSG00000275066	CD34	4412.2	-1.4	2.756e-13	3.727e-11
TTBK2	ENSG00000128881	CD34	1283.4	-1.5	3.123e-13	4.234e-11
TIAM2	ENSG00000146426	CD34	156	-2.7	2.989e-13	4.795e-11
UBXN1	ENSG00000162191	CD34	6080.6	1.3	4.098e-13	5.378e-11
CEP350	ENSG00000135837	CD34	4850.9	-1.2	4.437e-13	5.876e-11
NR2C2	ENSG00000177463	CD34	3486.9	-1.6	4.508e-13	5.876e-11
RBL2	ENSG00000103479	CD34	3747.9	-1.1	4.582e-13	5.884e-11
SUMO3	ENSG00000184900	CD34	5058.5	1	4.301e-13	5.968e-11
SHPRH	ENSG00000146414	CD34	822.8	-1.7	2.421e-13	6.426e-11
AC099811.2	ENSG00000267261	CD34	263.7	-9.6	5.085e-13	7.165e-11
BUD31	ENSG00000106245	CD34	3856.6	1.2	5.848e-13	7.266e-11
NOM1	ENSG00000146909	CD34	1416	-1	7.549e-13	9.513e-11
AC108010.1	ENSG00000242588	CD34	377.9	-3.1	7.585e-13	9.688e-11
ATP6V0C	ENSG00000185883	CD34	16680.3	1.7	1.327e-12	9.946e-11
PDAP1	ENSG00000106244	CD34	4917.3	0.9	8.396e-13	1.006e-10
ISCA2	ENSG00000165898	CD34	1191.5	1.8	8.468e-13	1.015e-10
SMG1	ENSG00000157106	CD34	8118.5	-1.6	8.562e-13	1.018e-10
AC011511.4	ENSG00000267303	CD34	1538.1	1.5	9.108e-13	1.074e-10
AC087393.2	ENSG00000263986	CD34	832.3	2.4	1.039e-12	1.216e-10
WDR83OS	ENSG00000105583	CD34	4315.7	1.4	1.086e-12	1.262e-10
TFPT	ENSG00000105619	CD34	749.1	1.6	1.173e-12	1.352e-10
SNHG6	ENSG00000245910	CD34	3427.3	1.7	1.101e-12	1.367e-10
BAZ2B	ENSG00000123636	CD34	1256	-1.4	1.242e-12	1.422e-10
CCNT1	ENSG00000129315	CD34	3890.2	-1.3	1.292e-12	1.425e-10
IRF2	ENSG00000168310	CD34	2420.8	-1.2	1.271e-12	1.425e-10
AC025257.1	ENSG00000257386	CD34	107.8	-8.9	1.299e-12	1.425e-10
COPS9	ENSG00000172428	CD34	654.5	1.7	1.386e-12	1.53e-10
AC018523.2	ENSG00000256206	CD34	592	-7	1.429e-12	1.595e-10
NEU3	ENSG00000162139	CD34	995	-1.3	1.479e-12	1.608e-10
COX4I1	ENSG00000131143	CD34	8068.2	1.1	1.557e-12	1.682e-10
RPS19BP1	ENSG00000187051	CD34	1977.6	1.3	1.684e-12	1.84e-10
CIB1	ENSG00000185043	CD34	1955.7	1.4	1.9e-12	2.009e-10
APC	ENSG00000134982	CD34	2391.6	-1.3	2.016e-12	2.176e-10
PYM1	ENSG00000170473	CD34	783.1	1.1	1.048e-12	2.304e-10
RFX7	ENSG00000181827	CD34	2992.7	-1.2	2.325e-12	2.408e-10
RPS28P7	ENSG00000227097	CD34	6061.6	2.4	4.164e-12	2.657e-10
RPS20	ENSG00000008988	CD34	39653.6	1.3	4.95e-12	3.434e-10
FBL	ENSG00000105202	CD34	8477.2	1.1	5.903e-12	3.692e-10
EPB42	ENSG00000166947	CD34	48481.1	2.9	5.882e-12	3.692e-10
LAMTOR4	ENSG00000188186	CD34	2059.4	1.6	3.684e-12	3.788e-10
OTUB1	ENSG00000167770	CD34	2233.6	1	4.087e-12	4.134e-10
PARP14	ENSG00000173193	CD34	2628.5	-1.1	4.1e-12	4.134e-10
LTN1	ENSG00000198862	CD34	1918.7	-1.3	4.135e-12	4.134e-10
SMPD1	ENSG00000166311	CD34	388.4	1.5	4.243e-12	4.265e-10
PRR14	ENSG00000156858	CD34	3055	1.3	4.876e-12	4.728e-10
ST6GAL1	ENSG00000073849	CD34	3020.1	-1.4	4.95e-12	4.732e-10
EPC2	ENSG00000135999	CD34	1994.9	-1.1	4.842e-12	4.732e-10
ALKBH4	ENSG00000160993	CD34	382.8	1.4	4.85e-12	4.732e-10
FCGR3A	ENSG00000203747	CD34	46	-3.8	3.089e-12	4.732e-10
AP001160.3	ENSG00000269176	CD34	60.2	2.2	3.15e-12	4.796e-10
AL021546.1	ENSG00000111780	CD34	16.1	-18	4.452e-12	4.97e-10
SLC6A9	ENSG00000196517	CD34	17336.1	3.3	6.533e-12	4.97e-10
TRAPPC1	ENSG00000170043	CD34	1638.9	1.6	5.513e-12	5.079e-10
SMIM29	ENSG00000186577	CD34	414.5	2.5	5.405e-12	5.079e-10
SELENOH	ENSG00000211450	CD34	1331.5	2.3	6.274e-12	5.079e-10
ICE1	ENSG00000164151	CD34	2849.5	-1.2	5.595e-12	5.204e-10
PCF11	ENSG00000165494	CD34	6192.5	-1.7	6.15e-12	5.54e-10
RPL34	ENSG00000109475	CD34	28034.3	1.4	1.091e-11	6.063e-10
SF3B5	ENSG00000169976	CD34	2897	1.3	6.802e-12	6.1e-10
VPS8	ENSG00000156931	CD34	1340.6	-0.9	7.966e-12	6.26e-10
MED1	ENSG00000125686	CD34	5337.6	-1.2	7.196e-12	6.356e-10
CDH1	ENSG00000039068	CD34	9542.4	3.5	7.278e-12	6.359e-10
AC114490.2	ENSG00000271741	CD34	136.9	-4.4	6.981e-12	6.359e-10
RPL36AL	ENSG00000165502	CD34	9383.9	1.3	7.864e-12	6.852e-10
KPNA6	ENSG00000025800	CD34	8332.7	-1.4	8.006e-12	6.936e-10
KIF21A	ENSG00000139116	CD34	500.3	3.1	7.749e-12	7.062e-10
NDUFA3	ENSG00000170906	CD34	1125.3	1.6	9.609e-12	7.256e-10
GPR65	ENSG00000140030	CD34	142.6	-3.5	6.155e-12	7.445e-10
HBBP1	ENSG00000229988	CD34	2743.6	4.1	8.791e-12	7.448e-10
YPEL3	ENSG00000090238	CD34	8730.1	2.5	1.44e-11	7.47e-10
ARL6IP4	ENSG00000182196	CD34	3665.7	1.1	8.749e-12	7.47e-10
RHAG	ENSG00000112077	CD34	30148.6	2.4	9.077e-12	7.511e-10
SMG1P4	ENSG00000185710	CD34	1045.3	-3.5	9.771e-12	8.253e-10
GAS2L1	ENSG00000185340	CD34	1486.7	2.2	1.008e-11	8.472e-10
HMGCR	ENSG00000113161	CD34	4485.4	-2	1.092e-11	8.954e-10
ETFB	ENSG00000105379	CD34	3084.8	1.4	1.124e-11	9.135e-10
SCNM1	ENSG00000163156	CD34	1027.1	0.9	1.322e-11	9.454e-10
C5AR1	ENSG00000197405	CD34	341.6	-3.5	1.149e-11	9.477e-10
RPS15	ENSG00000115268	CD34	17002.8	1.8	1.515e-11	9.807e-10
IL1RN	ENSG00000136689	CD34	289.4	-4	1.093e-11	9.807e-10
DYNLRB1	ENSG00000125971	CD34	2234	1.3	1.243e-11	1.006e-9
SEC24C	ENSG00000176986	CD34	5830.4	-0.9	1.57e-11	1.006e-9
PJA2	ENSG00000198961	CD34	5051.3	-1.3	1.273e-11	1.02e-9
INVS	ENSG00000119509	CD34	530.7	-1.1	1.298e-11	1.032e-9
SCNM1	ENSG00000163156	CD34	1027.1	0.9	1.322e-11	1.032e-9
AL157392.5	ENSG00000282246	CD34	13.3	-30.5	5.978e-12	1.032e-9
VPS13B	ENSG00000132549	CD34	5723.4	-1.8	2.294e-11	1.083e-9
SNF8	ENSG00000159210	CD34	2041.6	0.9	1.417e-11	1.083e-9
UQCR11	ENSG00000127540	CD34	3001.1	2	1.429e-11	1.086e-9
RPL28	ENSG00000108107	CD34	28996.2	1.5	1.454e-11	1.096e-9
FBXO3	ENSG00000110429	CD34	1714.4	2	1.453e-11	1.12e-9
DNAJC4	ENSG00000110011	CD34	958.8	1.5	1.497e-11	1.146e-9
AKT1S1	ENSG00000204673	CD34	3895.2	1.1	1.57e-11	1.166e-9
POLR2I	ENSG00000105258	CD34	792.9	1.7	1.553e-11	1.178e-9
SNHG9	ENSG00000255198	CD34	161.2	2.2	1.132e-11	1.19e-9
DDX21	ENSG00000165732	CD34	10408.6	-1.6	2.071e-11	1.237e-9
ANKIB1	ENSG00000001629	CD34	1343.8	-1.1	2.003e-11	1.29e-9
CCDC71L	ENSG00000253276	CD34	7579	1.6	2.864e-11	1.29e-9
AC123912.4	ENSG00000268555	CD34	1958.2	6.3	1.806e-11	1.338e-9
NDUFC2	ENSG00000151366	CD34	1654.4	1.9	1.878e-11	1.384e-9
FAM72D	ENSG00000215784	CD34	939.8	8.4	1.949e-11	1.43e-9
TET1	ENSG00000138336	CD34	233.8	-2.2	1.661e-11	1.432e-9
SPG11	ENSG00000104133	CD34	3139.5	-0.9	2.103e-11	1.5e-9
KLF1	ENSG00000105610	CD34	32980.1	1.9	2.654e-11	1.527e-9
TAPBP	ENSG00000231925	CD34	4474.6	1.3	2.189e-11	1.547e-9
PPDPF	ENSG00000125534	CD34	3422.2	2.3	2.287e-11	1.609e-9
ID1	ENSG00000125968	CD34	622.4	3.5	2.816e-11	1.738e-9
THAP3	ENSG00000041988	CD34	738.7	1.6	1.21e-11	1.761e-9
STARD4	ENSG00000164211	CD34	1895	-2.3	2.486e-11	1.761e-9
USP37	ENSG00000135913	CD34	1463.4	-2.5	2.574e-11	1.812e-9
KDELR1	ENSG00000105438	CD34	3157.9	1	2.904e-11	1.983e-9
SMARCA2	ENSG00000080503	CD34	5479.1	-0.9	2.941e-11	2.051e-9
TP53BP1	ENSG00000067369	CD34	1853.7	-1.2	3.334e-11	2.272e-9
RPL17	ENSG00000265681	CD34	44479.7	1	4.99e-11	2.282e-9
ARFGEF1	ENSG00000066777	CD34	2493.2	-1	3.368e-11	2.316e-9
AC005606.1	ENSG00000260107	CD34	291.8	1.7	2.688e-11	2.316e-9
LRP6	ENSG00000070018	CD34	650.7	-2	3.46e-11	2.317e-9
PIP5K1A	ENSG00000143398	CD34	1738.6	-1.4	3.688e-11	2.479e-9
ROCK1	ENSG00000067900	CD34	3165.9	-1.1	3.486e-11	2.513e-9
BLCAP	ENSG00000166619	CD34	815.8	1.5	1.843e-11	2.54e-9
ZNF865	ENSG00000261221	CD34	384.6	2.1	3.703e-11	2.54e-9
PIKFYVE	ENSG00000115020	CD34	6611.5	-1.4	6.402e-11	2.57e-9
TCEANC2	ENSG00000116205	CD34	496.4	-1	3.882e-11	2.57e-9
NDUFA2	ENSG00000131495	CD34	2393.8	1.4	3.861e-11	2.57e-9
OVCA2	ENSG00000262664	CD34	730.2	1.5	4.53e-11	2.584e-9
RPS28	ENSG00000233927	CD34	12310	1.9	6.664e-11	2.645e-9
RAC1	ENSG00000136238	CD34	8013.3	0.8	6.144e-11	2.657e-9
XYLB	ENSG00000093217	CD34	175.3	-1.7	3.432e-11	2.809e-9
RPS19	ENSG00000105372	CD34	43158.9	1.5	4.475e-11	2.827e-9
NDUFA11	ENSG00000174886	CD34	2642.5	1.6	4.843e-11	3.069e-9
ZNF580	ENSG00000213015	CD34	543.2	1.6	4.811e-11	3.104e-9
PPARGC1B	ENSG00000155846	CD34	359.9	-2	4.946e-11	3.168e-9
FFAR2	ENSG00000126262	CD34	38.6	-4.7	4.033e-11	3.227e-9
ZNHIT1	ENSG00000106400	CD34	2350.2	1.6	5.217e-11	3.229e-9
CHD9	ENSG00000177200	CD34	4345.6	-1.3	5.165e-11	3.267e-9
NUFIP2	ENSG00000108256	CD34	5875.9	-1.3	8.705e-11	3.315e-9
RPS27A	ENSG00000143947	CD34	39420.7	1.3	5.46e-11	3.338e-9
ARFGEF2	ENSG00000124198	CD34	3841.8	-1.3	5.023e-11	3.345e-9
SAP30BP	ENSG00000161526	CD34	2622	1	5.475e-11	3.371e-9
COX8A	ENSG00000176340	CD34	2867.9	1.6	5.616e-11	3.392e-9
HBE1	ENSG00000213931	CD34	3938.4	3.9	5.613e-11	3.392e-9
NOSIP	ENSG00000142546	CD34	2138.9	1.4	5.604e-11	3.41e-9
TESC	ENSG00000088992	CD34	9208.5	1.6	5.89e-11	3.542e-9
MAF1	ENSG00000179632	CD34	15189	1.2	5.961e-11	3.545e-9
PLEKHM3	ENSG00000178385	CD34	1249.1	-1.4	6.86e-11	3.594e-9
ZNF579	ENSG00000218891	CD34	124.5	2.8	5.387e-11	3.594e-9
LMTK2	ENSG00000164715	CD34	1731.6	-1.5	6.254e-11	3.703e-9
PEX11B	ENSG00000131779	CD34	715.9	1.4	3.114e-11	3.846e-9
NDFIP1	ENSG00000131507	CD34	5568.3	1.3	9.782e-11	3.859e-9
ZNF593	ENSG00000142684	CD34	457.7	2.6	6.446e-11	3.859e-9
SPTY2D1	ENSG00000179119	CD34	2668.6	-1.4	7.168e-11	4.134e-9
C6orf226	ENSG00000221821	CD34	62.9	2.4	6.339e-11	4.134e-9
BAZ2A	ENSG00000076108	CD34	18345.1	-1.5	7.152e-11	4.136e-9
RAPGEF6	ENSG00000158987	CD34	2123	-1.4	7.041e-11	4.136e-9
AC006547.3	ENSG00000268292	CD34	148.6	27.5	5.151e-11	4.2e-9
DNAJC13	ENSG00000138246	CD34	2940.6	-1.2	7.41e-11	4.209e-9
MPHOSPH9	ENSG00000051825	CD34	2789.2	-1.6	7.782e-11	4.436e-9
HIF1A	ENSG00000100644	CD34	3678.5	-1.1	8.136e-11	4.709e-9
ARF5	ENSG00000004059	CD34	2901.6	1.1	8.649e-11	4.877e-9
IPO7	ENSG00000205339	CD34	8027.7	-1.3	1.415e-10	4.913e-9
AP2S1	ENSG00000042753	CD34	3949.7	1.6	8.882e-11	4.972e-9
IFIH1	ENSG00000115267	CD34	1143.1	-1.6	1.011e-10	4.988e-9
CPS1	ENSG00000021826	CD34	144.7	3.4	7.44e-11	5.031e-9
RPL8	ENSG00000161016	CD34	57032.2	1.1	1.424e-10	5.331e-9
NT5C	ENSG00000125458	CD34	979.7	1.4	1.034e-10	5.724e-9
GATAD2B	ENSG00000143614	CD34	3294.7	-1.2	1.109e-10	6.076e-9
ATXN7L1	ENSG00000146776	CD34	288.6	-1.1	9.517e-11	6.343e-9
DROSHA	ENSG00000113360	CD34	2280.7	-1.1	1.21e-10	6.629e-9
NOP53	ENSG00000105373	CD34	11229.4	1.6	1.524e-10	6.717e-9
UTP20	ENSG00000120800	CD34	1622.4	-1.4	1.232e-10	6.717e-9
SLC23A2	ENSG00000089057	CD34	743.7	-1.1	6.119e-11	6.943e-9
RNF208	ENSG00000212864	CD34	229.7	3.3	1.196e-10	7.237e-9
IGF1R	ENSG00000140443	CD34	2770.3	-1.5	1.368e-10	7.335e-9
CWC22	ENSG00000163510	CD34	1692.4	-1.1	1.354e-10	7.411e-9
HIVEP1	ENSG00000095951	CD34	1071.5	-1.4	1.578e-10	7.422e-9
TOMM7	ENSG00000196683	CD34	3813.7	1.4	1.404e-10	7.422e-9
NT5M	ENSG00000205309	CD34	1657.3	1.8	1.4e-10	7.585e-9
DAPK3	ENSG00000167657	CD34	966.9	1.2	1.456e-10	7.699e-9
TPR	ENSG00000047410	CD34	8992.6	-1.1	2.174e-10	7.723e-9
TSFM	ENSG00000123297	CD34	1211.4	1	1.478e-10	7.821e-9
TRAPPC11	ENSG00000168538	CD34	1546.6	-1	1.495e-10	7.884e-9
ZNF823	ENSG00000197933	CD34	165.7	2.5	1.296e-10	8.13e-9
CHCHD5	ENSG00000125611	CD34	377.9	1.6	1.536e-10	8.136e-9
TCF20	ENSG00000100207	CD34	3588	-1.1	1.667e-10	8.572e-9
C11orf1	ENSG00000137720	CD34	459.2	0.9	1.658e-10	8.681e-9
LSM2	ENSG00000204392	CD34	1589.3	1.5	1.655e-10	8.681e-9
RP9	ENSG00000164610	CD34	585.2	1.3	1.776e-10	9.11e-9
AC138035.1	ENSG00000238035	CD34	68.4	-2.6	1.918e-10	9.123e-9
CNTRL	ENSG00000119397	CD34	2222.5	-1.4	1.809e-10	9.279e-9
IQGAP2	ENSG00000145703	CD34	5377	-1	1.793e-10	9.279e-9
RPS29	ENSG00000213741	CD34	23384.9	1.2	2.805e-10	9.568e-9
RPL37	ENSG00000145592	CD34	38406.9	1.3	2.467e-10	1.009e-8
HSPE1-MOB4	ENSG00000270757	CD34	430.5	-2.2	1.934e-10	1.029e-8
EEF1D	ENSG00000104529	CD34	15333.5	1.6	3.401e-10	1.05e-8
ARAP1-AS1	ENSG00000256007	CD34	240.6	1.9	1.497e-10	1.062e-8
MGAM	ENSG00000257335	CD34	57.9	-6.6	1.35e-10	1.073e-8
NFAT5	ENSG00000102908	CD34	3683.8	-2.5	2.189e-10	1.107e-8
ALPL	ENSG00000162551	CD34	113.1	-4.3	1.749e-10	1.109e-8
MRPL28	ENSG00000086504	CD34	2826.1	1.5	2.296e-10	1.128e-8
CSGALNACT1	ENSG00000147408	CD34	98.8	-2.4	2.354e-10	1.13e-8
SIL1	ENSG00000120725	CD34	1068.2	1.7	2.722e-10	1.176e-8
GCLM	ENSG00000023909	CD34	9839.1	1.4	3.578e-10	1.178e-8
AC006441.3	ENSG00000265784	CD34	490	1.4	2.477e-10	1.226e-8
MTOR	ENSG00000198793	CD34	4111.6	-1	2.553e-10	1.234e-8
DGAT2	ENSG00000062282	CD34	228.1	-2.5	2.031e-10	1.255e-8
NAA35	ENSG00000135040	CD34	869.7	-1	2.603e-10	1.255e-8
RPL23A	ENSG00000198242	CD34	19363.2	1.1	4.281e-10	1.268e-8
CTDSP1	ENSG00000144579	CD34	3395.7	1.1	2.446e-10	1.273e-8
DYRK1B	ENSG00000105204	CD34	2375.1	1.8	2.712e-10	1.316e-8
UVSSA	ENSG00000163945	CD34	508.1	-1.7	2.711e-10	1.316e-8
UVSSA	ENSG00000163945	CD34	508.1	-1.7	2.711e-10	1.34e-8
RPS9	ENSG00000170889	CD34	42071.2	1	3.526e-10	1.352e-8
CPD	ENSG00000108582	CD34	2076.8	-1	2.824e-10	1.358e-8
TMEM219	ENSG00000149932	CD34	1403	1.6	3.366e-10	1.45e-8
NCOA6	ENSG00000198646	CD34	3725	-0.9	3.107e-10	1.45e-8
RPL21P16	ENSG00000220842	CD34	26502.3	1.4	5.036e-10	1.45e-8
BLVRB	ENSG00000090013	CD34	56724.5	1.7	3.142e-10	1.454e-8
WDFY3	ENSG00000163625	CD34	590.8	-1.7	3.601e-10	1.471e-8
OST4	ENSG00000228474	CD34	5326.1	1.4	2.925e-10	1.471e-8
SNX19	ENSG00000120451	CD34	2639.5	-1	3.168e-10	1.475e-8
SVBP	ENSG00000177868	CD34	2043.9	1.4	3.256e-10	1.528e-8
